Date,Production_Tons,Electricity_Consumption_MWh,Temperature_Celsius,Humidity_Percent,Downtime_Hours,Weather_Condition,Shift
2020-01-01,398.2267467187177,1123.5611181518257,42.322993284045005,85.57712907427327,3.977729504916824,Foggy,Morning
2020-01-02,505.4643494360008,1050.1648519565376,33.18480080962876,53.56755055338483,3.002742937238214,Rainy,Night
2020-01-03,425.62815637163305,1078.4902780466157,39.01339516588626,31.163318056581744,5.776061673917954,Rainy,Night
2020-01-04,410.6350787057696,1206.4458778726514,32.680563982596354,28.81851869355334,5.4557736136865715,Cloudy,Morning
2020-01-05,417.9024104686116,1245.9544779903265,26.673766122065715,49.788341372863194,0.18750402677958328,Stormy,Night
2020-01-06,435.70591218659183,1241.625216824787,34.357763103090846,88.91094793932996,0.07543534187211184,Foggy,Evening
2020-01-07,512.6345846556958,1199.7186744172914,29.779633264989805,81.04019484589523,1.2479026116861236,Rainy,Morning
2020-01-08,518.6603065511473,1107.8089596866444,35.35788700747183,89.0410847771288,1.0631109943595476,Cloudy,Night
2020-01-09,558.8992405575632,1409.1704002822091,38.01417181037644,74.58878572452029,0.08685710691436889,Stormy,Morning
2020-01-10,540.6638799590868,1406.7874148497133,41.41901278501099,55.7050952515194,0.3663677924153828,Sunny,Morning
2020-01-11,486.399507304763,1268.6450933023,35.27214442060561,83.65454831523776,1.6149132262858712,Stormy,Evening
2020-01-12,493.6217473733849,1150.1954840893845,35.8019266121967,89.7601083484941,1.2352053402449568,Foggy,Morning
2020-01-13,598.9597161624113,1192.409861335954,23.613924180115884,84.35531885778366,0.9342430377054418,Foggy,Evening
2020-01-14,432.14754207917,1117.7032538838114,34.045853244268415,48.0454605617458,2.507905422975474,Rainy,Morning
2020-01-15,605.3307120452325,1100.9118825149,37.4731882485012,33.852116483956394,2.7700484326921115,Stormy,Evening
2020-01-16,513.2631500108952,1121.4468577270857,36.351751235174326,53.9829195216159,2.6923119685202495,Stormy,Morning
2020-01-17,483.5464318689723,1284.046759294284,32.24905618470564,72.42459551032047,0.32965530621531247,Sunny,Evening
2020-01-18,523.7364092832117,1148.0541296378692,31.51541833296025,46.5203217391975,0.9755643509651848,Sunny,Night
2020-01-19,520.7214732631595,1222.4372599002625,27.7820697393426,87.47490332093058,0.19706104753042314,Stormy,Night
2020-01-20,480.4063073531873,1328.1449831597329,32.92056187635418,75.05671051865365,1.6485637899655499,Cloudy,Evening
2020-01-21,492.9962150963445,1072.7705822897785,27.621079784342765,88.96937845649853,0.09620121311517511,Foggy,Evening
2020-01-22,520.074030092804,1228.316063438944,32.169949995217955,91.260391113415,0.050289515481798455,Stormy,Night
2020-01-23,496.5756487634398,1251.1629369595712,28.508041233574826,29.943860121224212,0.3491223594188388,Foggy,Evening
2020-01-24,457.3771550979629,1238.5564539392344,31.24622309929713,72.61303616375976,0.5898991466276766,Sunny,Evening
2020-01-25,464.8167289966011,1128.1735027709478,29.990413483980934,66.63789713553061,3.9613999264387965,Sunny,Morning
2020-01-26,541.9297792361058,1181.3780323027167,23.011157470383996,70.07651340554203,1.0832680357929998,Cloudy,Evening
2020-01-27,463.060378957546,1244.0106975244687,22.49779499018108,36.44553144936767,2.471766300952815,Rainy,Evening
2020-01-28,506.1206172992733,1221.7720555225847,27.507669270958537,44.79942605227908,3.792690117712553,Foggy,Evening
2020-01-29,426.31930907999174,1441.9526142798654,32.55184536758333,87.677031589247,0.11236782154051098,Foggy,Morning
2020-01-30,440.5993001993398,1262.5282854179834,35.72387674762801,46.41141849850345,1.6682464745992998,Sunny,Morning
2020-01-31,395.2687623812235,1095.5772569926867,31.11120635045173,71.01892870242784,0.5277117324692299,Stormy,Morning
2020-02-01,468.64704582590826,1200.3313416238852,34.615635226516005,30.83787227745835,0.12263110693041052,Sunny,Morning
2020-02-02,502.501456029558,1196.203015109768,28.627422261075164,85.8126123976494,1.341008365588146,Sunny,Evening
2020-02-03,489.6443095431958,1203.5078370262534,31.351408921521504,79.66796594350905,2.6450391760478897,Stormy,Night
2020-02-04,436.4037132172804,1352.8749893882452,34.814086512996944,73.61527631928291,0.4994598944914516,Cloudy,Evening
2020-02-05,456.9803736972447,1239.8665796508465,32.20001282329516,82.60445958909881,0.4733648666898637,Sunny,Night
2020-02-06,457.629246298086,1199.1458066131033,31.040633153695648,73.69763380370854,0.8110797485437808,Stormy,Night
2020-02-07,465.45995282180104,1296.198823158891,30.70131001554425,82.35856874437337,0.5513872089196616,Foggy,Night
2020-02-08,497.75448993852615,1427.8256480477382,27.115509459924834,77.37159230145488,3.7119137481767495,Cloudy,Morning
2020-02-09,588.1294697430677,1231.2755547540487,30.6012233772739,71.0115434007169,0.5570484944796417,Sunny,Morning
